date,dungeon,result,time,mana,crystal,energy,drop,grade,sell_value,set,efficiency,slot,rarity,main_stat,prefix_stat,sub1,sub2,sub3,sub4,team1,team2,team3,team4,team5
2019-07-06 03:25,"Dragon's Lair B10",Win,2:57,4097,0,0,Rainbowmon 3,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:28,"Dragon's Lair B10",Win,2:55,4693,0,2,Rune,6*,24443,Revenge,50.59,4,Rare,HP +360,DEF +12,ATK 5%,CRI Dmg 6%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:31,"Dragon's Lair B10",Win,2:31,4328,0,0,Rainbowmon 3,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:34,"Dragon's Lair B10",Win,2:40,4480,0,1,Rune,5*,8876,Guard,37.24,1,Rare,ATK +15,,CRI Dmg 5%,HP +105,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:37,"Dragon's Lair B10",Win,2:39,4463,0,1,Rune,6*,14663,Focus,48.27,6,Rare,HP 11%,,ATK +18,CRI Dmg 6%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:40,"Dragon's Lair B10",Win,2:46,4855,0,2,Summoning Stones x3,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 09:32,"Dragon's Lair B10",Win,6:42,4784,0,1,Rune,5*,13863,Revenge,40.34,1,Rare,ATK +15,SPD +3,CRI Dmg 3%,CRI Rate 3%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 09:35,"Dragon's Lair B10",Win,2:21,4628,0,0,Rune,5*,14015,Endure,47.10,2,Hero,DEF +15,HP 5%,ATK 5%,Accuracy 4%,DEF 5%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 10:40,"Dragon's Lair B10",Win,3:17,4479,0,1,Rune,5*,13005,Violent,45.91,6,Hero,ATK +15,,ATK 7%,SPD +5,Resistance 4%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 10:44,"Dragon's Lair B10",Win,2:57,4277,0,2,Rune,5*,11560,Violent,37.09,6,Rare,HP +270,,ATK 4%,CRI Dmg 3%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 10:48,"Dragon's Lair B10",Win,3:04,4878,0,0,Rune,5*,10215,Shield,37.43,5,Rare,HP +270,,DEF +12,Accuracy 3%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 10:52,"Dragon's Lair B10",Win,3:16,4629,0,1,Rune Piece x10,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 10:56,"Dragon's Lair B10",Win,3:05,4297,0,0,Rune Piece x9,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 10:59,"Dragon's Lair B10",Win,3:00,4450,0,3,Rune,5*,11679,Guard,42.75,2,Hero,HP +270,,CRI Dmg 3%,CRI Rate 4%,DEF 5%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:02,"Dragon's Lair B10",Win,2:59,4336,0,0,Rune,5*,11674,Revenge,48.02,5,Rare,HP +270,SPD +5,Resistance 6%,HP 7%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:06,"Dragon's Lair B10",Win,2:52,4237,0,3,Rune Piece x9,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:09,"Dragon's Lair B10",Win,2:45,4548,0,0,Rune,5*,8759,Guard,40.41,3,Hero,DEF +15,,DEF 4%,SPD +4,HP +102,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:14,"Dragon's Lair B10",Win,2:47,4442,0,1,Symbol of Transcendence x10,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:20,"Dragon's Lair B10",Win,3:00,4611,0,2,Rune,5*,11492,Revenge,37.05,4,Rare,CRI Dmg 8%,,HP 6%,Accuracy 3%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:23,"Dragon's Lair B10",Win,2:55,4766,0,3,Rune,5*,10853,Shield,38.44,6,Rare,HP 8%,,CRI Rate 5%,Resistance 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
